id,name,category,tamilName,sizes,benefits,usage
moong-dal-chilka-split-green-gram-with-skin,Moong Dal (Chilka) / Split Green Gram (With Skin),pulses,பாசி பருப்பு (உடையாத தோல்),500g;1kg;2kg,"Retains outer skin fiber for better digestion, light on stomach, and rich in essential minerals like potassium.","Cook with spices for healthy split moong khichdi, prepare warm soups, or make dry side-dish subzis."
moong-dal-split-green-gram-skinless,Moong Dal / Split Green Gram (Skinless),pulses,பாசி பருப்பு,500g;1kg;2kg,"Easiest lentil to digest, highly recommended during recuperation, rich in iron, calcium, and B-complex vitamins.","Cook comforting Moong Dal Tadka, make healthy yellow Moong Khichdi, or prepare festive sweet Moong Payasam."
red-rajma-red-kidney-beans,Red Rajma / Red Kidney Beans,pulses,சிவப்பு ராஜ்மா,500g;1kg;2kg,"Loaded with iron and molybdenum, helps stabilize blood glucose, and supports muscle recovery and building.",Soak overnight and simmer with thick tomato-onion masala gravy (Rajma Chawal) or add to protein salads.
roasted-channa-dal-roasted-split-bengal-gram,Roasted Channa Dal / Roasted Split Bengal Gram,pulses,பொட்டுகடலை,250g;500g;1kg,"Requires no cooking, provides instant protein punch, supports weight management, and low in glycemic carbs.","Grind with coconut and green chillies for coconut chutney, make sweet fried gram laddus, or eat as direct snack."
toor-dal-arhar-dal-split-pigeon-pea-unpolished,Toor Dal / Arhar Dal / Split Pigeon Pea (Unpolished),pulses,துவரம் பருப்பு (தீட்டப்படாதது),500g;1kg;2kg;5kg,"Rich source of plant protein and dietary folate, supports pregnancy health, and contains no artificial coloring or wax.","Crucial staple to cook traditional South Indian Sambar, comforting Dal Tadka, or delicious pepper Rasam."
urad-black-gram-whole,Urad / Black Gram (Whole),pulses,முழு கருப்பு உளுந்து,500g;1kg;2kg,"Strengthens bones and spine, highly beneficial for women's reproductive health, and loaded with iron.","Prepare healthy whole black gram porridge (Ulundhu Kanji), grind for soft idli batter, or make sweet ulundhu laddus."
basmati-rice-white,Basmati Rice (White),rice,பாஸ்மதி அரிசி (வெள்ளை),1kg;2kg;5kg,"Naturally gluten-free, low to medium glycemic index, easy to digest, and fills the kitchen with natural aroma.","Cook premium long-grain Biryanis, festive pulaos, steamed ghee rice, or serve plain with aromatic curries."
red-rice,Red Rice,rice,சிகப்பரிசி (மாப்பிள்ளை சம்பா),1kg;2kg;5kg,"High in stamina-building iron and zinc, unpolished red bran retains essential fiber, and helps build immunity.","Ideal for boiled everyday red rice lunch, making soft red rice idlis, or brewing warm rice porridge (Kanji)."
black-rice,Black Rice,rice,கருப்பு கவுனி அரிசி,1kg;2kg;5kg,"Boasts highest antioxidant anthocyanin level among grains, cleanses liver, and helps manage glucose spikes.","Cook traditional sweet Kavuni Arisi Puttu, prepare sweet payasam dessert, or make healthy black rice idlis."
himalayan-dark-pink-crystals,Himalayan Dark Pink Crystals,salt,இமாலய இளஞ்சிவப்பு கல் உப்பு,500g;1kg,"Contains 84 trace minerals, supports natural pH balance, regulates cellular hydration, and lower in sodium than refined salt.","Use in boiling water for cooking grains, pickling mangoes, or dissolving in warm water for mineral bathing."
himalayan-dark-pink-free-flow,Himalayan Dark Pink Free Flow,salt,இமாலய இளஞ்சிவப்பு தூள் உப்பு,500g;1kg,"Unrefined pink table salt, contains natural trace minerals, and free from chemical anti-caking agents.","Sprinkle over salads, season everyday curries, stir into baking doughs, or use for general table seasoning."
chia-seeds,Chia Seeds,seeds,சியா விதைகள்,250g;500g;1kg,"Loaded with Omega-3 fatty acids and dietary fibers, forms a digestive-friendly gel, and sustains hydration.","Soak in water/milk for 15 minutes to make chia puddings, add to fruit juices, or blend in breakfast smoothies."
flax-seeds-javas,Flax Seeds (Javas),seeds,ஆளி விதை (ஜவாஸ்),250g;500g;1kg,"Rich in fiber and active lignans for hormonal balance, helps regulate heart health, and contains plant Omega-3.","Grind into powder to mix in baking flour, stir into yogurt bowls, or sprinkle over morning porridge mixes."
kalonji-nigella-seeds,Kalonji / Nigella Seeds,seeds,கருஞ்சீரகம்,100g;250g;500g,"Boosts immune responses, supports respiratory health, exhibits strong anti-inflammatory properties, and aids digestion.","Sprinkle over naan flatbreads, add to mango pickles, temper in curries, or boil in water for herbal tea."
pumpkin-seeds,Pumpkin Seeds,seeds,பூசணி விதைகள்,250g;500g;1kg,"Rich in immune-boosting zinc and magnesium, supports prostate health, and contains high concentrations of proteins.","Eat raw as a trail mix, roast lightly with spices, sprinkle over salads, or mix into baking recipes."
watermelon-seeds,Watermelon Seeds,seeds,தர்பூசணி விதைகள்,250g;500g;1kg,"Rich in magnesium and B-vitamins, promotes metabolism, supports heart health, and acts as protein booster.","Consume raw as a healthy snack, roast with a pinch of salt and chili, or blend into creamy curry gravies."
biryani-masala,Biryani Masala,spices,பிரியாணி மசாலா,100g;250g;500g,"Assists digestion, speeds up metabolism, and contains anti-inflammatory properties from organic spice ingredients.",Add 1-2 teaspoons to vegetable or rice biryanis during cooking to achieve an authentic traditional aroma.
black-pepper,Black Pepper,spices,கருப்பு மிளகு,100g;250g;500g,"Rich in active piperine, boosts nutrient absorption, assists digestion, and helps fight throat infections naturally.","Crush freshly over boiled eggs, stir into traditional rasam soup, season salads, or add to hot milk."
kashmiri-whole-chilli,Kashmiri Whole Chilli,spices,காஷ்மீரி மிளகாய் வற்றல்,100g;250g;500g,"Rich in Vitamin C, stimulates digestion, lower heat levels to protect stomach lining, and provides rich color.","Use whole in tempering curries, or grind into vibrant, mild red chili powder for everyday gravy dishes."
cinnamon,Cinnamon,spices,இலவங்கப்பட்டை,100g;250g,"Helps regulate blood sugar levels, contains powerful antioxidants, and possesses natural anti-bacterial qualities.","Add a small stick to boiling rice for fragrance, cook in spice curries, or steep in hot tea water."
coriander-powder,Coriander Powder,spices,மல்லித் தூள் (தனியா தூள்),100g;250g;500g,"Cools down internal body heat, aids smooth digestion, and contains active dietary fibers and antioxidants.","Add to curry bases, mix in marinades, or use in traditional gravies to build thickness and aroma."
coriander-seeds,Coriander Seeds,spices,மல்லி விதை (தனியா),100g;250g;500g,"Promotes digestive wellness, helps regulate blood pressure, and works as an excellent natural blood purifier.","Steep in hot water to make coriander tea for digestion, roast and grind for spice mixes, or use in tempering."
garam-masala,Garam Masala,spices,கரம் மசாலா,100g;250g;500g,"Stimulates digestion, raises metabolic rate, and loaded with minerals from traditional spice components.","Sprinkle a pinch at the end of cooking vegetable curries or gravies to lock in deep, rich flavors."
cumin-seeds-jeera,Cumin Seeds (Jeera),spices,சீரகம் (ஜீரகம்),100g;250g;500g,"Contains active thymol to stimulate digestion, aids weight loss, and helps regulate blood sugar levels.","Temper in hot ghee/oil at the beginning of cooking, roast and powder for yogurt seasoning, or boil for jeera water."
kasoori-methi,Kasoori Methi,spices,கஸ்தூரி மேதி,50g;100g;250g,"Supports kidney health, regulates blood glucose levels, and rich in dietary fibers and minerals.",Crush gently between palms and sprinkle over rich paneer or potato gravies just before turning off the heat.
fenugreek-seeds,Fenugreek Seeds,spices,வெந்தயம்,100g;250g;500g,"Improves insulin sensitivity, cools the body, prevents acidity, and highly beneficial for digestion.","Soak overnight and consume raw for blood sugar, temper in tamarind curries, or use in fermenting dosa batter."
fennel-seeds,Fennel Seeds,spices,சோம்பு (பெருஞ்சீரகம்),100g;250g;500g,"Freshens breath, relieves bloating, relaxes intestinal muscles, and rich in copper and potassium.","Chew raw after heavy meals, boil with water for soothing herbal tea, or temper in spice gravy bases."
bay-leaf,Bay Leaf,spices,பிரிஞ்சி இலை,50g;100g,"Relieves indigestion, supports heart wellness, and contains antimicrobial active compounds.","Add whole leaf to hot oil for flavoring biryanis, pulaos, soups, and slow-cooked tomato gravies."
turmeric-powder,Turmeric Powder,spices,மஞ்சள் தூள்,100g;250g;500g,"Curcumin-rich formula builds natural immunity, combats cellular inflammation, and acts as powerful antiseptic.","Add 1/2 tsp to daily cooking curries, mix in hot milk with black pepper, or use in marinades."
moringa-powder,Moringa Powder,health-powders,முருங்கை இலை பொடி,100g;250g;500g,"Incredibly high in iron and Vitamin A, boosts systemic immunity, strengthens bones, and builds daily energy.","Mix 1 teaspoon in warm water with lemon juice, stir into hot rice with ghee, or blend into green smoothies."
jaggery-granules,Jaggery Granules,sweeteners,வெல்லத்தூள் (நாட்டுச் சர்க்கரை),500g;1kg;2kg,"Rich source of iron, purifies blood, releases slow energy preventing fatigue, and aids digestion.","Use to sweeten coffee, tea, make traditional sweets, or sprinkle over hot porridge bowls."
brown-sugar,Brown Sugar,sweeteners,நாட்டுச் சர்க்கரை (பிரவுன் சுகர்),500g;1kg;2kg,"Unbleached and chemical-free sweetener, retains natural molasses minerals, and digestively light.","Direct replacement for white sugar in daily tea, baking recipes, dynamic shakes, and desserts."
white-sulphurless-sugar,White Sulphurless Sugar,sweeteners,வெள்ளை சல்பர் இல்லாத சர்க்கரை,500g;1kg;2kg,"Clarified without harmful sulphur dioxide, provides clean sweetness, and free from chemical residues.","Use in standard coffee, baking, traditional sweets, and daily cooking recipes where white sugar is required."
groundnut-chikki,Groundnut Chikki (Kadalai Mittai),homemade-products,கடலை மிட்டாய்,250g,"High plant protein, rich in iron, healthy snack for children.",Ready-to-eat sweet treat.
sesame-urundai,Sesame (Ellu) Urundai,homemade-products,எள்ளு உருண்டை,200g,"Rich in calcium, loaded with healthy fats, improves hair and skin health.",Ready-to-eat.
peanut-urundai,Peanut Urundai (Kadalai Urundai),homemade-products,கடலை உருண்டை,200g,"Gives instant protein boost, healthy snacking alternative to candies.",Ready-to-eat.
karuppu-ulundu-laddu,Kaaruppu uludhu laaddu,homemade-products,கருப்பு உளுந்து லட்டு,250g,"Strengthens bones and spine, high protein content, excellent for women's health.",Ready-to-eat healthy sweet snack.
karuveppilai-laddu,Karuvaepillai laaddu,homemade-products,கறிவேப்பிலை லட்டு,200g,"Rich source of iron, prevents hair fall, improves digestion and vision.",Ready-to-eat herbal snack.
red-rice-laddu,Red rice laaddu,homemade-products,சிகப்பரிசி லட்டு,250g,"Rich in fiber, boosts stamina, healthy snack for all age groups.",Ready-to-eat sweet snack.
mango-pickle,Mango Pickle,pickles-masalas,மாங்காய் ஊறுகாய்,250g,"Boosts appetite, assists in digestion, contains healthy sesame oil fats.","Serve with curd rice, idli, dosa, or hot rice."
lemon-pickle,Lemon Pickle,pickles-masalas,எலுமிச்சை ஊறுகாய்,250g,"Vitamin C source, aids in digestion, zero artificial chemical preservatives.",Goes wonderfully with curd rice and variety rices.
idli-podi,Idli Podi (Gunpowder),pickles-masalas,இட்லி பொடி,100g,"High protein from lentils, convenient side dish.",Mix with wood-pressed sesame oil or ghee and use as dip for hot idlis and dosas.
kulambu-milagai-thool,Kulambu Milagai Thool,pickles-masalas,குழம்பு மிளகாய்த் தூள்,500g,One-stop masala for all South Indian kuzhambu varieties.,"Add to tamarind base for Vatha Kuzhambu, Garlic Kuzhambu, or fish curry."
curry-leaves-powder,Curry Leaves Powder (Karuveppilai Podi),pickles-masalas,கறிவேப்பிலை பொடி,100g,Excellent source of iron and antioxidants. Helps improve digestion and promotes hair growth.,"Mix with hot rice and ghee/sesame oil, or serve as a flavorful side for idli and dosa."
beetroot-vathal,Beetroot Vathal,homemade-vathal,பீட்ரூட் வத்தல்,250g,"Retains organic nitrates and fiber of beetroots, zero preservatives, natural snack.",Deep fry in hot oil for 5-10 seconds until crispy. Serve with variety rice or curd rice.
carrot-vathal,Carrot Vathal,homemade-vathal,கேரட் வத்தல்,250g,"Rich in beta-carotene and dietary fibers, no added artificial color.",Deep fry in oil and enjoy as a crunchy side dish for South Indian meals.
poosanikkai-vathal,Pumpkin / Poosanikkai Vathal,homemade-vathal,பூசணிக்காய் வத்தல்,250g,"Highly alkaline superfood, cools the body, aids digestion.",Fry in hot oil till crispy and golden. Best paired with sambar or rasam rice.
onion-vathal,Onion Vathal,homemade-vathal,வெங்காய வத்தல்,250g,"Imparts rich onion flavor, stimulates digestion, completely homemade.","Deep fry in oil to eat as side dish, or use as tempering (tadka) for traditional curries."
